Invoice No.,Origin Code,Destination Code,Total Weight,Dispatch Date
INV_14062024_01,A123,12854121,1200,14/06/23 00:00
INV_14062024_02,A123,12854171,500,14/06/23 00:00
INV_14062024_03,A123,12854197,984,14/06/23 00:00
INV_14062024_04,A123,12854137,400,14/06/23 00:00
INV_14062024_05,A123,12854133,1035,14/06/23 00:00
INV_14062024_06,A123,12854159,240,14/06/23 00:00
INV_14062024_07,A123,12854127,480,14/06/23 00:00
INV_14062024_08,A123,12983715,1728,14/06/23 00:00
INV_14062024_09,A123,11950159,1532,14/06/23 00:00
INV_14062024_10,A123,12838671,376,14/06/23 00:00
INV_14062024_11,A123,11646201,188,14/06/23 00:00
INV_14062024_12,A123,10208730,349.6,14/06/23 00:00
INV_14062024_13,A123,10214844,508,14/06/23 00:00
INV_14062024_14,A123,10214844,627,14/06/23 00:00
INV_14062024_15,A123,10208746,392,14/06/23 00:00
INV_14062024_16,A123,12738762,1500,14/06/23 00:00
INV_14062024_17,A123,10208117,314.88,14/06/23 00:00
INV_14062024_18,A123,12171444,1254,14/06/23 00:00
INV_14062024_19,A123,13015040,220,14/06/23 00:00
INV_14062024_20,A123,13067657,418,14/06/23 00:00
INV_14062024_21,A123,10208730,36,14/06/23 00:00
INV_14062024_22,A123,10208120,48,14/06/23 00:00
INV_14062024_23,A123,10208746,48,14/06/23 00:00
INV_14062024_24,A123,13005196,418,14/06/23 00:00
INV_14062024_25,A123,12769191,180,14/06/23 00:00
