Invoice No.,Origin Code,Destination Code,Total Weight,Dispatch Date
INV_08062024_01,A123,12854172,648,08/06/23 00:00
INV_08062024_02,A123,12854173,1200,08/06/23 00:00
INV_08062024_03,A123,12860572,744,08/06/23 00:00
INV_08062024_04,A123,12854164,600,08/06/23 00:00
INV_08062024_05,A123,10279711,8360,08/06/23 00:00
INV_08062024_06,A123,10279711,8360,08/06/23 00:00
INV_08062024_07,A123,10208589,204.5,08/06/23 00:00
INV_08062024_08,A123,10218045,320,08/06/23 00:00
INV_08062024_09,A123,10218045,1800,08/06/23 00:00
INV_08062024_10,A123,10218045,1620,08/06/23 00:00
INV_08062024_11,A123,10218045,209,08/06/23 00:00
INV_08062024_12,A123,10218045,2700,08/06/23 00:00
INV_08062024_13,A123,11346601,1672,08/06/23 00:00
INV_08062024_14,A123,10208607,391,08/06/23 00:00
INV_08062024_15,A123,12740556,836,08/06/23 00:00
INV_08062024_16,A123,12750741,3000,08/06/23 00:00
INV_08062024_17,A123,12750741,2000,08/06/23 00:00
INV_08062024_18,A123,11957296,3000,08/06/23 00:00
INV_08062024_19,A123,11957296,1000,08/06/23 00:00
INV_08062024_20,A123,11957296,3000,08/06/23 00:00
INV_08062024_21,A123,12854153,672,08/06/23 00:00
INV_08062024_22,A123,12854198,920,08/06/23 00:00
INV_08062024_23,A123,12708761,5016,08/06/23 00:00
INV_08062024_24,A123,10208768,734,08/06/23 00:00
INV_08062024_25,A123,10208702,242,08/06/23 00:00
INV_08062024_26,A123,13005196,15134,08/06/23 00:00
INV_08062024_27,A123,12345850,251,08/06/23 00:00
INV_08062024_28,A123,10208605,275,08/06/23 00:00
INV_08062024_29,A123,10208717,258,08/06/23 00:00
INV_08062024_30,A123,12724371,1230,08/06/23 00:00
INV_08062024_31,A123,13045617,209,08/06/23 00:00
INV_08062024_32,A123,13005196,3344,08/06/23 00:00
INV_08062024_33,A123,10208768,12,08/06/23 00:00
INV_08062024_34,A123,10208605,24,08/06/23 00:00
INV_08062024_35,A123,12750741,3000,08/06/23 00:00
INV_08062024_36,A123,12750741,3000,08/06/23 00:00
INV_08062024_37,A123,12750741,3000,08/06/23 00:00
INV_08062024_38,A123,12750741,3000,08/06/23 00:00
